## Wed Dec 27 18:26:09 2023
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_bufjrdeu --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_bufjrdeu --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_bufjrdeu/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
mis_0	10090.ENSMUSP00000003509	3.25e-294	802.0	KOG2692@1|root,KOG2692@2759|Eukaryota,39VFV@33154|Opisthokonta,3BJ9P@33208|Metazoa,3D09J@33213|Bilateria,48756@7711|Chordata,495M8@7742|Vertebrata,3JC20@40674|Mammalia,35BTE@314146|Euarchontoglires,4Q6K3@9989|Rodentia	33208|Metazoa	G	Alpha-2,8-sialyltransferase 8F	ST8SIA6	GO:0000139,GO:0001573,GO:0001574,GO:0003674,GO:0003824,GO:0003828,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005975,GO:0006464,GO:0006486,GO:0006493,GO:0006629,GO:0006643,GO:0006664,GO:0006665,GO:0006672,GO:0006687,GO:0006688,GO:0006807,GO:0008150,GO:0008152,GO:0008373,GO:0008610,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009247,GO:0009311,GO:0009987,GO:0012505,GO:0016020,GO:0016051,GO:0016740,GO:0016757,GO:0019538,GO:0030148,GO:0031090,GO:0031984,GO:0034641,GO:0034645,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043413,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0046467,GO:0046513,GO:0070085,GO:0071704,GO:0097503,GO:0098588,GO:0098791,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1903509	2.4.99.8	ko:K03369,ko:K03371,ko:K06612,ko:K06615	ko00601,ko00603,ko00604,ko01100,map00601,map00603,map00604,map01100	M00069	R05940,R05943,R05947,R05950,R05958,R06032	-	ko00000,ko00001,ko00002,ko01000,ko01003	-	GT29	-	Glyco_transf_29
mis_1	272557.APE_0955	1.37e-193	539.0	COG1226@1|root,arCOG01964@2157|Archaea	2157|Archaea	P	PFAM Ion transport	-	GO:0003674,GO:0005215,GO:0005216,GO:0005244,GO:0005249,GO:0005261,GO:0005267,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015267,GO:0015318,GO:0015672,GO:0016020,GO:0016021,GO:0022803,GO:0022832,GO:0022836,GO:0022838,GO:0022839,GO:0022843,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0034220,GO:0042802,GO:0044425,GO:0044464,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0098655,GO:0098660,GO:0098662	-	ko:K10716	-	-	-	-	ko00000,ko02000	1.A.1.1,1.A.1.13,1.A.1.17,1.A.1.24,1.A.1.25,1.A.1.6	-	-	Ion_trans,Ion_trans_2
mis_2	9606.ENSP00000053243	1.14e-130	370.0	2E8KR@1|root,2SF2N@2759|Eukaryota,3A00U@33154|Opisthokonta,3BQ29@33208|Metazoa,3D6ZT@33213|Bilateria,48B1H@7711|Chordata,492GV@7742|Vertebrata,3JFIH@40674|Mammalia,35NWT@314146|Euarchontoglires,4MH8Q@9443|Primates,4N4YV@9604|Hominidae	33208|Metazoa	T	Tumor necrosis factor receptor superfamily, member 17	TNFRSF17	GO:0001776,GO:0002260,GO:0002376,GO:0003674,GO:0005575,GO:0005623,GO:0005886,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0008150,GO:0008283,GO:0009987,GO:0010033,GO:0012505,GO:0016020,GO:0016021,GO:0019221,GO:0023052,GO:0031224,GO:0032501,GO:0032502,GO:0033209,GO:0034097,GO:0034612,GO:0038023,GO:0042221,GO:0042592,GO:0044425,GO:0044464,GO:0048856,GO:0048872,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0060089,GO:0065007,GO:0065008,GO:0070887,GO:0071310,GO:0071345,GO:0071356,GO:0071944	-	ko:K05153	ko04060,ko04672,map04060,map04672	-	-	-	ko00000,ko00001,ko04050,ko04090	-	-	-	BCMA-Tall_bind
mis_3	4932.YGR236C	2.9e-61	188.0	2D03D@1|root,2SCND@2759|Eukaryota,3ABSJ@33154|Opisthokonta,3P8X0@4751|Fungi,3QZWM@4890|Ascomycota,3RVR4@4891|Saccharomycetes,3S232@4893|Saccharomycetaceae	4751|Fungi	S	to Saccharomyces cerevisiae SPG1 (YGR236C)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005783,GO:0012505,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	-	-	-	-	-	-	-	-	-	-	-
mis_4	1224746.B932_1320	4.34e-82	243.0	COG4993@1|root,COG4993@2|Bacteria,1MZM8@1224|Proteobacteria,2UDJ4@28211|Alphaproteobacteria	28211|Alphaproteobacteria	G	Dehydrogenase	-	-	-	-	-	-	-	-	-	-	-	-	-
mis_5	9606.ENSP00000261196	0.0	1387.0	KOG3626@1|root,KOG3626@2759|Eukaryota,38W9A@33154|Opisthokonta,3BCC7@33208|Metazoa,3CYD9@33213|Bilateria,47Z19@7711|Chordata,4911I@7742|Vertebrata,3J81H@40674|Mammalia,35FJ2@314146|Euarchontoglires,4MGSC@9443|Primates,4MZUR@9604|Hominidae	33208|Metazoa	P	bile acid transmembrane transporter activity	SLCO1B3	GO:0001889,GO:0002237,GO:0003674,GO:0005215,GO:0005319,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006855,GO:0006857,GO:0006869,GO:0007275,GO:0008028,GO:0008150,GO:0008509,GO:0008514,GO:0009605,GO:0009607,GO:0009617,GO:0009719,GO:0009725,GO:0009914,GO:0010033,GO:0010243,GO:0010817,GO:0010876,GO:0014070,GO:0015075,GO:0015125,GO:0015238,GO:0015291,GO:0015318,GO:0015347,GO:0015349,GO:0015711,GO:0015718,GO:0015721,GO:0015833,GO:0015849,GO:0015850,GO:0015893,GO:0016020,GO:0016021,GO:0016323,GO:0022804,GO:0022857,GO:0031224,GO:0031226,GO:0031960,GO:0032496,GO:0032501,GO:0032502,GO:0033036,GO:0033993,GO:0034097,GO:0034220,GO:0035672,GO:0035673,GO:0042221,GO:0042493,GO:0042886,GO:0042887,GO:0043207,GO:0043252,GO:0043434,GO:0044425,GO:0044459,GO:0044464,GO:0046677,GO:0046942,GO:0046943,GO:0048513,GO:0048545,GO:0048731,GO:0048732,GO:0048856,GO:0050896,GO:0051179,GO:0051234,GO:0051384,GO:0051704,GO:0051707,GO:0055085,GO:0061008,GO:0065007,GO:0065008,GO:0070327,GO:0071702,GO:0071705,GO:0071944,GO:0098590,GO:0098656,GO:1901618,GO:1901652,GO:1901698,GO:1901700,GO:1903825,GO:1904680,GO:1905039	-	ko:K05043,ko:K08747,ko:K14345,ko:K14356	ko04919,ko04976,map04919,map04976	-	-	-	ko00000,ko00001,ko02000	2.A.60.1,2.A.60.1.10,2.A.60.1.12,2.A.60.1.13,2.A.60.1.15,2.A.60.1.2,2.A.60.1.5,2.A.60.1.8	-	-	Kazal_2,OATP
mis_6	1440052.EAKF1_ch4123	9e-127	360.0	COG0558@1|root,COG0558@2|Bacteria,1RCZ7@1224|Proteobacteria,1S465@1236|Gammaproteobacteria,3XM7U@561|Escherichia	1236|Gammaproteobacteria	I	This protein catalyzes the committed step to the synthesis of the acidic phospholipids	pgsA	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008444,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0016020,GO:0016021,GO:0016740,GO:0016772,GO:0016780,GO:0017169,GO:0019637,GO:0031224,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044425,GO:0044464,GO:0045017,GO:0046474,GO:0046486,GO:0071704,GO:0071944,GO:0090407,GO:1901576	2.7.8.41,2.7.8.5	ko:K00995,ko:K08744	ko00564,ko01100,map00564,map01100	-	R01801,R02030	RC00002,RC00017,RC02795	ko00000,ko00001,ko01000	-	-	iAF1260.b1912,iAPECO1_1312.APECO1_954,iB21_1397.B21_01866,iBWG_1329.BWG_1721,iE2348C_1286.E2348C_2030,iEC042_1314.EC042_2073,iEC55989_1330.EC55989_2132,iECABU_c1320.ECABU_c21710,iECBD_1354.ECBD_1731,iECB_1328.ECB_01877,iECDH10B_1368.ECDH10B_2053,iECDH1ME8569_1439.ECDH1ME8569_1852,iECD_1391.ECD_01877,iECED1_1282.ECED1_2177,iECH74115_1262.ECH74115_2684,iECIAI1_1343.ECIAI1_1996,iECIAI39_1322.ECIAI39_1143,iECNA114_1301.ECNA114_2003,iECO103_1326.ECO103_2168,iECO111_1330.ECO111_2492,iECO26_1355.ECO26_2804,iECOK1_1307.ECOK1_2029,iECP_1309.ECP_1852,iECS88_1305.ECS88_1966,iECSF_1327.ECSF_1764,iECSP_1301.ECSP_2516,iECUMN_1333.ECUMN_2204,iECs_1301.ECs2650,iETEC_1333.ETEC_2020,iEcDH1_1363.EcDH1_1734,iEcE24377_1341.EcE24377A_2145,iEcHS_1320.EcHS_A2010,iEcSMS35_1347.EcSMS35_1271,iEcolC_1368.EcolC_1727,iG2583_1286.G2583_2363,iJO1366.b1912,iJR904.b1912,iLF82_1304.LF82_1635,iNRG857_1313.NRG857_09550,iSDY_1059.SDY_1106,iSSON_1240.SSON_1206,iSbBS512_1146.SbBS512_E1039,iUMN146_1321.UM146_07620,iUMNK88_1353.UMNK88_2386,iUTI89_1310.UTI89_C2113,iY75_1357.Y75_RS10025,iYL1228.KPN_02410,iZ_1308.Z3000,ic_1306.c2325	CDP-OH_P_transf
mis_7	3827.XP_004499139.1	1.73e-135	385.0	2CCMV@1|root,2QUHD@2759|Eukaryota,37NYA@33090|Viridiplantae,3G9TF@35493|Streptophyta,4JK73@91835|fabids	35493|Streptophyta	S	Outer envelope pore protein	-	GO:0003674,GO:0005215,GO:0005216,GO:0005244,GO:0005261,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0009507,GO:0009513,GO:0009526,GO:0009527,GO:0009536,GO:0009707,GO:0009941,GO:0015075,GO:0015267,GO:0015288,GO:0015318,GO:0016020,GO:0016021,GO:0019867,GO:0022803,GO:0022829,GO:0022832,GO:0022836,GO:0022838,GO:0022839,GO:0022843,GO:0022857,GO:0022890,GO:0031090,GO:0031224,GO:0031300,GO:0031301,GO:0031350,GO:0031351,GO:0031354,GO:0031355,GO:0031358,GO:0031359,GO:0031967,GO:0031968,GO:0031969,GO:0031975,GO:0032879,GO:0032991,GO:0034220,GO:0034425,GO:0034426,GO:0034762,GO:0034765,GO:0042170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043269,GO:0044422,GO:0044424,GO:0044425,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046930,GO:0050789,GO:0051049,GO:0051179,GO:0051234,GO:0055085,GO:0065007,GO:0098588,GO:0098655,GO:0098796,GO:0098805	-	-	-	-	-	-	-	-	-	-	-
mis_8	4932.YPL036W	0.0	1739.0	COG0474@1|root,KOG0205@2759|Eukaryota,38CYC@33154|Opisthokonta,3NUFA@4751|Fungi,3QJBC@4890|Ascomycota,3RRQR@4891|Saccharomycetes,3S0IT@4893|Saccharomycetaceae	4751|Fungi	P	plasma membrane ATPase	PMA1	GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006873,GO:0006885,GO:0008144,GO:0008150,GO:0008324,GO:0008553,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019725,GO:0019829,GO:0022607,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030003,GO:0030004,GO:0030554,GO:0030641,GO:0031224,GO:0031226,GO:0032553,GO:0032555,GO:0032559,GO:0034220,GO:0034622,GO:0035639,GO:0036094,GO:0036442,GO:0042592,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043248,GO:0043492,GO:0043933,GO:0044085,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045121,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0051453,GO:0055067,GO:0055080,GO:0055082,GO:0055085,GO:0065003,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090662,GO:0097159,GO:0097367,GO:0098589,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0098805,GO:0098857,GO:0099131,GO:0099132,GO:0120029,GO:0140115,GO:1901265,GO:1901363,GO:1901691,GO:1902600,GO:1902906	3.6.3.6	ko:K01535	ko00190,map00190	-	-	-	ko00000,ko00001,ko01000	3.A.3.3	-	-	Cation_ATPase_N,E1-E2_ATPase,Hydrolase
## 9 queries scanned
