## Wed Dec 27 23:32:50 2023
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ymzghtyc --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ymzghtyc --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_ymzghtyc/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
0	10116.ENSRNOP00000022892	0.0	1051.0	COG0056@1|root,KOG1353@2759|Eukaryota,38ERH@33154|Opisthokonta,3BCEE@33208|Metazoa,3CU79@33213|Bilateria,489CP@7711|Chordata,497ZQ@7742|Vertebrata,3J34Z@40674|Mammalia,35DYV@314146|Euarchontoglires,4Q0CE@9989|Rodentia	33208|Metazoa	C	Produces ATP from ADP in the presence of a proton gradient across the membrane	ATP5A1	GO:0000166,GO:0000275,GO:0001936,GO:0001937,GO:0003674,GO:0003824,GO:0005102,GO:0005215,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005753,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006629,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008144,GO:0008150,GO:0008152,GO:0008285,GO:0008324,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0010594,GO:0010595,GO:0010632,GO:0010634,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015399,GO:0015405,GO:0015672,GO:0016020,GO:0016462,GO:0016469,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019829,GO:0019866,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030334,GO:0030335,GO:0030554,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032553,GO:0032555,GO:0032559,GO:0032879,GO:0032991,GO:0033178,GO:0034220,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0040012,GO:0040017,GO:0042127,GO:0042287,GO:0042288,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043168,GO:0043209,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0043531,GO:0043532,GO:0043535,GO:0043536,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044769,GO:0045121,GO:0045259,GO:0045261,GO:0046034,GO:0046390,GO:0046483,GO:0046933,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050678,GO:0050680,GO:0050789,GO:0050794,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051270,GO:0051272,GO:0055085,GO:0055086,GO:0065007,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090407,GO:0090662,GO:0097159,GO:0097367,GO:0098589,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0098798,GO:0098800,GO:0098805,GO:0098857,GO:0099131,GO:0099132,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1902600,GO:2000145,GO:2000147	-	ko:K02132	ko00190,ko01100,ko04714,ko05010,ko05012,ko05016,map00190,map01100,map04714,map05010,map05012,map05016	M00158	-	-	ko00000,ko00001,ko00002	3.A.2.1	-	-	ATP-synt_ab,ATP-synt_ab_C,ATP-synt_ab_N
1	161934.XP_010690445.1	2.5e-209	581.0	COG0149@1|root,KOG1643@2759|Eukaryota,37IFK@33090|Viridiplantae,3GESU@35493|Streptophyta	35493|Streptophyta	G	triosephosphate isomerase	-	GO:0000003,GO:0003674,GO:0003824,GO:0004807,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006066,GO:0006071,GO:0006081,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006629,GO:0006638,GO:0006639,GO:0006641,GO:0006642,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007275,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009579,GO:0009657,GO:0009658,GO:0009941,GO:0009987,GO:0016043,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019400,GO:0019405,GO:0019438,GO:0019439,GO:0019563,GO:0019637,GO:0019682,GO:0019693,GO:0019751,GO:0019752,GO:0022622,GO:0031967,GO:0031975,GO:0032501,GO:0032502,GO:0032504,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044255,GO:0044262,GO:0044270,GO:0044271,GO:0044275,GO:0044281,GO:0044282,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046031,GO:0046034,GO:0046164,GO:0046166,GO:0046174,GO:0046184,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046486,GO:0046496,GO:0046700,GO:0046939,GO:0048046,GO:0048364,GO:0048731,GO:0048856,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0071840,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0080022,GO:0090407,GO:0099402,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901616	5.3.1.1	ko:K01803	ko00010,ko00051,ko00562,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00002,M00003	R01015	RC00423	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	TIM
2	1463900.JOIX01000038_gene2931	3.76e-66	208.0	COG1853@1|root,COG1853@2|Bacteria,2GN2T@201174|Actinobacteria	201174|Actinobacteria	S	Flavin reductase like domain	-	-	-	ko:K21185	ko01059,ko01130,map01059,map01130	M00827,M00828,M00832	R11368,R11393	RC00949,RC03431	ko00000,ko00001,ko00002	-	-	-	Flavin_Reduct
3	224308.BSU11670	1.14e-277	758.0	COG0665@1|root,COG0665@2|Bacteria,1VTRW@1239|Firmicutes,4HD2K@91061|Bacilli,1ZCZM@1386|Bacillus	91061|Bacilli	E	Glycine oxidase	thiO	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006725,GO:0006766,GO:0006767,GO:0006772,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009228,GO:0009987,GO:0016491,GO:0016638,GO:0016641,GO:0017144,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0036094,GO:0042364,GO:0042723,GO:0042724,GO:0043167,GO:0043168,GO:0043436,GO:0043799,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046483,GO:0048037,GO:0050660,GO:0050662,GO:0055114,GO:0071704,GO:0071949,GO:0072527,GO:0072528,GO:0097159,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	1.4.3.19,1.4.5.1	ko:K00285,ko:K03153	ko00360,ko00730,ko01100,map00360,map00730,map01100	-	R01374,R07463,R09493	RC00006,RC00025,RC01788	ko00000,ko00001,ko01000	-	-	-	DAO
4	300852.55772142	4.99e-312	849.0	COG2873@1|root,COG2873@2|Bacteria,1WJ3I@1297|Deinococcus-Thermus	1297|Deinococcus-Thermus	E	PFAM Cys Met metabolism	-	-	2.5.1.49	ko:K01740	ko00270,ko01100,map00270,map01100	-	R01287,R04859	RC00020,RC02821,RC02848	ko00000,ko00001,ko01000	-	-	-	Cys_Met_Meta_PP
5	1101188.KI912156_gene3974	2.25e-246	679.0	COG1680@1|root,COG1680@2|Bacteria,2GJJB@201174|Actinobacteria,1W8VN@1268|Micrococcaceae	201174|Actinobacteria	V	Beta-lactamase	-	-	-	-	-	-	-	-	-	-	-	-	Beta-lactamase
6	861360.AARI_13280	5.52e-268	733.0	COG0346@1|root,COG0346@2|Bacteria,2GKY9@201174|Actinobacteria,1W8EK@1268|Micrococcaceae	201174|Actinobacteria	E	3,4-dihydroxyphenylacetate 2,3-dioxygenase	hpaD	-	-	-	-	-	-	-	-	-	-	-	Glyoxalase
7	1345697.M493_09750	2.94e-281	770.0	COG3693@1|root,COG3693@2|Bacteria,1UHTC@1239|Firmicutes,4HAKW@91061|Bacilli,1WEQN@129337|Geobacillus	91061|Bacilli	G	Glycosyl hydrolase family 10	xynA	GO:0005575,GO:0005576	3.2.1.8	ko:K01181	-	-	-	-	ko00000,ko01000	-	-	-	Glyco_hydro_10,SLH
8	9606.ENSP00000355812	4.79e-266	731.0	28IVC@1|root,2QR70@2759|Eukaryota,39RDW@33154|Opisthokonta,3B9PH@33208|Metazoa,3CWVZ@33213|Bilateria,4848F@7711|Chordata,49403@7742|Vertebrata,3J5JG@40674|Mammalia,35C0P@314146|Euarchontoglires,4MC81@9443|Primates,4MUJK@9604|Hominidae	33208|Metazoa	S	FOP N terminal dimerisation domain	FGFR1OP	GO:0000086,GO:0000278,GO:0001558,GO:0001932,GO:0001933,GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0004857,GO:0004860,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005813,GO:0005815,GO:0005829,GO:0005856,GO:0006464,GO:0006468,GO:0006469,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007049,GO:0007346,GO:0008150,GO:0008152,GO:0008284,GO:0009892,GO:0009987,GO:0010389,GO:0010563,GO:0010564,GO:0010605,GO:0015630,GO:0016043,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019207,GO:0019210,GO:0019220,GO:0019222,GO:0019538,GO:0019887,GO:0019899,GO:0019900,GO:0019901,GO:0022402,GO:0022406,GO:0022607,GO:0030030,GO:0030031,GO:0030234,GO:0030292,GO:0030307,GO:0030334,GO:0030335,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0032268,GO:0032269,GO:0032879,GO:0033673,GO:0036211,GO:0040008,GO:0040012,GO:0040017,GO:0042127,GO:0042325,GO:0042326,GO:0042802,GO:0042803,GO:0043086,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043412,GO:0043549,GO:0044085,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0044770,GO:0044772,GO:0044782,GO:0044839,GO:0045859,GO:0045927,GO:0045936,GO:0046983,GO:0048471,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050730,GO:0050732,GO:0050789,GO:0050790,GO:0050794,GO:0051128,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051246,GO:0051248,GO:0051270,GO:0051272,GO:0051338,GO:0051348,GO:0051640,GO:0051641,GO:0051726,GO:0060255,GO:0060271,GO:0061097,GO:0061099,GO:0065007,GO:0065009,GO:0070925,GO:0071704,GO:0071840,GO:0080090,GO:0097711,GO:0098772,GO:0120031,GO:0120036,GO:0140056,GO:0140096,GO:1901564,GO:1901987,GO:1901990,GO:1902749,GO:1903047,GO:2000145,GO:2000147	-	ko:K16546	-	-	-	-	ko00000,ko03036	-	-	-	FOP_dimer
10	9606.ENSP00000421922	2.09e-73	229.0	KOG3956@1|root,KOG3956@2759|Eukaryota,38D63@33154|Opisthokonta,3BG2D@33208|Metazoa,3CT3X@33213|Bilateria,48AMZ@7711|Chordata,4976W@7742|Vertebrata,3J5IZ@40674|Mammalia,35I93@314146|Euarchontoglires,4ME4R@9443|Primates,4N1FB@9604|Hominidae	33208|Metazoa	IOTUV	Alpha-2-macroglobulin RAP, N-terminal domain	LRPAP1	GO:0001540,GO:0002090,GO:0002091,GO:0003674,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005783,GO:0005788,GO:0005791,GO:0005793,GO:0005794,GO:0005801,GO:0005886,GO:0006810,GO:0008150,GO:0009892,GO:0009966,GO:0009968,GO:0010469,GO:0010605,GO:0010646,GO:0010648,GO:0010915,GO:0010916,GO:0010941,GO:0010984,GO:0010985,GO:0012505,GO:0016020,GO:0016192,GO:0019222,GO:0019899,GO:0023051,GO:0023057,GO:0030100,GO:0030545,GO:0030547,GO:0031323,GO:0031324,GO:0031410,GO:0031974,GO:0031982,GO:0032091,GO:0032879,GO:0033218,GO:0035473,GO:0042277,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043393,GO:0044092,GO:0044422,GO:0044424,GO:0044431,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0045056,GO:0045806,GO:0048019,GO:0048237,GO:0048259,GO:0048261,GO:0048518,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0050750,GO:0050789,GO:0050794,GO:0051049,GO:0051051,GO:0051098,GO:0051100,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0060255,GO:0060548,GO:0060627,GO:0065007,GO:0065009,GO:0070013,GO:0070325,GO:0070326,GO:0071944,GO:0097708,GO:0098772,GO:1900115,GO:1900116,GO:1900221,GO:1900222,GO:1900223,GO:2000272	-	ko:K22290	ko04979,map04979	-	-	-	ko00000,ko00001	-	-	-	Alpha-2-MRAP_C,Alpha-2-MRAP_N
