## Wed Dec 27 23:33:32 2023
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_6muini6r --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_6muini6r --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_6muini6r/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
0	11678.VPU_HV1B1	2.11e-11	61.2	4QAN8@10239|Viruses,4R0PN@35268|Retro-transcribing viruses,4QP7Z@11632|Retroviridae	11632|Retroviridae	L	receptor catabolic process	-	-	-	-	-	-	-	-	-	-	-	-	-
1	198628.Dda3937_00520	6.38e-231	636.0	COG5361@1|root,COG5361@2|Bacteria,1NBVB@1224|Proteobacteria,1SES6@1236|Gammaproteobacteria,2JC89@204037|Dickeya	1236|Gammaproteobacteria	S	Neurotransmitter-gated ion-channel ligand binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Neur_chan_LBD,Neur_chan_memb
2	7955.ENSDARP00000097312	0.0	2338.0	KOG2301@1|root,KOG2301@2759|Eukaryota,38BYK@33154|Opisthokonta,3B9I5@33208|Metazoa,3CRAE@33213|Bilateria,4829E@7711|Chordata,48XM5@7742|Vertebrata,49ZC2@7898|Actinopterygii	33208|Metazoa	P	mediates the voltage-dependent sodium ion permeability of excitable membranes	SCN4A	GO:0001508,GO:0001518,GO:0003008,GO:0003012,GO:0003674,GO:0005215,GO:0005216,GO:0005248,GO:0005261,GO:0005272,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006814,GO:0006836,GO:0006936,GO:0007154,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015081,GO:0015267,GO:0015318,GO:0015672,GO:0015695,GO:0015696,GO:0015871,GO:0016020,GO:0016021,GO:0019226,GO:0019228,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0023052,GO:0030001,GO:0031224,GO:0031226,GO:0032501,GO:0032991,GO:0034220,GO:0034702,GO:0034703,GO:0034706,GO:0035637,GO:0035725,GO:0042391,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0050877,GO:0051179,GO:0051234,GO:0051899,GO:0055085,GO:0065007,GO:0065008,GO:0071702,GO:0071705,GO:0071944,GO:0086010,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0098797,GO:1902495,GO:1990351	-	ko:K04834,ko:K04837,ko:K04838,ko:K04840	ko04261,ko04742,map04261,map04742	-	-	-	ko00000,ko00001,ko04040	1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.8	-	-	Ion_trans,Na_trans_assoc
3	1495253.A0A023YA54_9BETC	0.0	5758.0	4QAM0@10239|Viruses,4R10Q@439488|ssRNA viruses,4R0QR@35278|ssRNA positive-strand viruses  no DNA stage,4R1N0@76804|Nidovirales	76804|Nidovirales	A	omega peptidase activity	-	GO:0000175,GO:0001172,GO:0001510,GO:0001959,GO:0001960,GO:0002682,GO:0002683,GO:0003674,GO:0003676,GO:0003723,GO:0003725,GO:0003727,GO:0003824,GO:0003968,GO:0004386,GO:0004482,GO:0004483,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0005488,GO:0005515,GO:0005575,GO:0006139,GO:0006370,GO:0006396,GO:0006397,GO:0006417,GO:0006464,GO:0006508,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008171,GO:0008173,GO:0008174,GO:0008408,GO:0008757,GO:0009058,GO:0009059,GO:0009451,GO:0009452,GO:0009605,GO:0009607,GO:0009889,GO:0009892,GO:0009893,GO:0009894,GO:0009966,GO:0009968,GO:0009987,GO:0010467,GO:0010468,GO:0010506,GO:0010556,GO:0010604,GO:0010605,GO:0010608,GO:0010629,GO:0010646,GO:0010648,GO:0010952,GO:0016032,GO:0016070,GO:0016071,GO:0016462,GO:0016556,GO:0016579,GO:0016740,GO:0016741,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0016796,GO:0016817,GO:0016818,GO:0016896,GO:0017111,GO:0018130,GO:0018995,GO:0019048,GO:0019049,GO:0019054,GO:0019056,GO:0019057,GO:0019058,GO:0019079,GO:0019080,GO:0019083,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0020012,GO:0023051,GO:0023057,GO:0030162,GO:0030430,GO:0030682,GO:0030683,GO:0031323,GO:0031325,GO:0031326,GO:0031329,GO:0031347,GO:0031348,GO:0032259,GO:0032268,GO:0032270,GO:0032774,GO:0033643,GO:0033644,GO:0033646,GO:0033655,GO:0034062,GO:0034248,GO:0034641,GO:0034654,GO:0035821,GO:0036211,GO:0036260,GO:0036265,GO:0039502,GO:0039503,GO:0039506,GO:0039507,GO:0039519,GO:0039548,GO:0039579,GO:0039604,GO:0039644,GO:0039648,GO:0039653,GO:0039656,GO:0039657,GO:0039690,GO:0039694,GO:0039713,GO:0039714,GO:0042802,GO:0043085,GO:0043170,GO:0043207,GO:0043412,GO:0043414,GO:0043656,GO:0043657,GO:0044003,GO:0044068,GO:0044073,GO:0044092,GO:0044093,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044279,GO:0044359,GO:0044362,GO:0044403,GO:0044413,GO:0044414,GO:0044415,GO:0044419,GO:0044501,GO:0045088,GO:0045824,GO:0045862,GO:0046483,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0050690,GO:0050776,GO:0050777,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051252,GO:0051336,GO:0051345,GO:0051701,GO:0051704,GO:0051707,GO:0051805,GO:0051807,GO:0051817,GO:0051832,GO:0051833,GO:0051834,GO:0052026,GO:0052027,GO:0052029,GO:0052031,GO:0052037,GO:0052055,GO:0052056,GO:0052167,GO:0052170,GO:0052173,GO:0052200,GO:0052204,GO:0052205,GO:0052250,GO:0052255,GO:0052261,GO:0052306,GO:0052309,GO:0052312,GO:0052493,GO:0052547,GO:0052552,GO:0052553,GO:0052561,GO:0052562,GO:0052564,GO:0052572,GO:0060255,GO:0060338,GO:0060339,GO:0060759,GO:0060761,GO:0065007,GO:0065009,GO:0070536,GO:0070646,GO:0070647,GO:0071108,GO:0071704,GO:0075109,GO:0075111,GO:0075112,GO:0075114,GO:0075136,GO:0075528,GO:0080009,GO:0080090,GO:0080134,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0097159,GO:0097659,GO:0097747,GO:0101005,GO:0106005,GO:0140096,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576,GO:1990380,GO:2000112,GO:2000152,GO:2000158,GO:2001141	-	-	-	-	-	-	-	-	-	-	-
4	45351.EDO29209	5.61e-131	412.0	28IFU@1|root,2QQSP@2759|Eukaryota,38FTN@33154|Opisthokonta,3BBPE@33208|Metazoa	33208|Metazoa	E	arachidonate 5-lipoxygenase activity	-	-	1.13.11.34	ko:K00461	ko00590,ko01100,ko04664,ko04726,ko04913,ko05145,map00590,map01100,map04664,map04726,map04913,map05145	-	R01595,R03058,R08527	RC00561,RC00839,RC02139	ko00000,ko00001,ko01000	-	-	-	Catalase,Lipoxygenase,PLAT
5	9606.ENSP00000400892	0.0	1042.0	28Q3X@1|root,2QWSR@2759|Eukaryota,39T5A@33154|Opisthokonta,3BISF@33208|Metazoa,3D063@33213|Bilateria,4834A@7711|Chordata,48W18@7742|Vertebrata,3JB55@40674|Mammalia,35F7U@314146|Euarchontoglires,4MDQW@9443|Primates,4N4CF@9604|Hominidae	33208|Metazoa	S	Ki-ras-induced actin-interacting protein-IP3R-interacting domain	TESPA1	GO:0002682,GO:0002684,GO:0002694,GO:0002696,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0008150,GO:0008180,GO:0009966,GO:0009967,GO:0009987,GO:0010387,GO:0010646,GO:0010647,GO:0016043,GO:0022407,GO:0022409,GO:0022607,GO:0023051,GO:0023056,GO:0030155,GO:0032991,GO:0033081,GO:0033089,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045580,GO:0045582,GO:0045595,GO:0045597,GO:0045619,GO:0045621,GO:0045785,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050793,GO:0050794,GO:0050854,GO:0050856,GO:0050857,GO:0050862,GO:0050863,GO:0050865,GO:0050867,GO:0050870,GO:0051094,GO:0051239,GO:0051240,GO:0051249,GO:0051251,GO:0065003,GO:0065007,GO:0071840,GO:1902105,GO:1902107,GO:1903037,GO:1903039,GO:1903706,GO:1903708,GO:2000026	-	-	-	-	-	-	-	-	-	-	KRAP_IP3R_bind
6	452659.RrIowa_0196	1.58e-198	549.0	COG0681@1|root,COG0681@2|Bacteria,1MXUF@1224|Proteobacteria,2TR9N@28211|Alphaproteobacteria,47FF7@766|Rickettsiales	766|Rickettsiales	U	Belongs to the peptidase S26 family	lepB	-	3.4.21.89	ko:K03100	ko02024,ko03060,map02024,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24,Peptidase_S26
7	5476.C4YR14	0.0	932.0	28HC7@1|root,2QPQM@2759|Eukaryota,38GPS@33154|Opisthokonta,3NUF8@4751|Fungi,3QJXE@4890|Ascomycota,3RSVD@4891|Saccharomycetes,47CET@766764|Debaryomycetaceae	4751|Fungi	I	Aureobasidin A resistance protein	AUR1	GO:0000139,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005794,GO:0006629,GO:0006643,GO:0006644,GO:0006665,GO:0006673,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0012505,GO:0016020,GO:0016021,GO:0016740,GO:0016757,GO:0016758,GO:0019637,GO:0030148,GO:0030173,GO:0031090,GO:0031224,GO:0031228,GO:0031300,GO:0031301,GO:0031984,GO:0032991,GO:0035690,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045140,GO:0046467,GO:0050896,GO:0051716,GO:0070887,GO:0070916,GO:0071704,GO:0098588,GO:0098791,GO:1901564,GO:1901566,GO:1901576,GO:1902494,GO:1990234	-	-	-	-	-	-	-	-	-	-	PAP2_3
8	199310.c1110	3.49e-140	397.0	COG0670@1|root,COG0670@2|Bacteria,1MU69@1224|Proteobacteria,1RRVZ@1236|Gammaproteobacteria,3XNC8@561|Escherichia	1236|Gammaproteobacteria	S	Belongs to the BI1 family	yccA	GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0016021,GO:0019222,GO:0030162,GO:0031224,GO:0044425,GO:0044464,GO:0050789,GO:0051171,GO:0051246,GO:0060255,GO:0065007,GO:0071944,GO:0080090	-	ko:K19416	-	M00742	-	-	ko00000,ko00002,ko02000	1.A.14.2.1	-	-	Bax1-I
9	7370.XP_005181328.1	2.07e-312	876.0	COG5273@1|root,KOG1311@2759|Eukaryota,38F6X@33154|Opisthokonta,3BGQ0@33208|Metazoa,3CS2V@33213|Bilateria,41UKU@6656|Arthropoda,3SGZ5@50557|Insecta,452R9@7147|Diptera	33208|Metazoa	S	Belongs to the DHHC palmitoyltransferase family	ZDHHC14	GO:0001736,GO:0001737,GO:0001738,GO:0002009,GO:0002165,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005794,GO:0005938,GO:0006464,GO:0006497,GO:0006807,GO:0007164,GO:0007275,GO:0007389,GO:0007399,GO:0007444,GO:0007472,GO:0007476,GO:0007552,GO:0007560,GO:0008104,GO:0008150,GO:0008152,GO:0008544,GO:0009058,GO:0009059,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009913,GO:0009987,GO:0012505,GO:0016043,GO:0016409,GO:0016417,GO:0016740,GO:0016746,GO:0016747,GO:0018345,GO:0019538,GO:0019706,GO:0019707,GO:0022008,GO:0030030,GO:0030154,GO:0030182,GO:0030855,GO:0032501,GO:0032502,GO:0033036,GO:0034613,GO:0034645,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0035315,GO:0035316,GO:0035317,GO:0036211,GO:0042157,GO:0042158,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044448,GO:0044464,GO:0045177,GO:0045179,GO:0048104,GO:0048513,GO:0048563,GO:0048569,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0048869,GO:0051179,GO:0051641,GO:0060429,GO:0060562,GO:0070727,GO:0071704,GO:0071840,GO:0071944,GO:0099568,GO:0099738,GO:0120036,GO:0140096,GO:1901564,GO:1901566,GO:1901576	2.3.1.225	ko:K16675	ko04391,map04391	-	-	-	ko00000,ko00001,ko01000	-	-	-	DHHC
10	9606.ENSP00000456026	1.35e-67	205.0	2EWM6@1|root,2SYE8@2759|Eukaryota,3AC4V@33154|Opisthokonta,3BVN8@33208|Metazoa,3D9RY@33213|Bilateria,48GFE@7711|Chordata,49DPB@7742|Vertebrata,3JI5Z@40674|Mammalia,35R8F@314146|Euarchontoglires,4MKCP@9443|Primates,4N6YS@9604|Hominidae	33208|Metazoa	S	Small leucine-rich protein 1	SMLR1	-	-	-	-	-	-	-	-	-	-	-	-
