## Wed Dec 27 18:27:27 2023
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_9vkhpcjy --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_9vkhpcjy --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_9vkhpcjy/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
0	3702.AT5G19520.1	0.0	1408.0	COG0668@1|root,KOG4629@2759|Eukaryota,37JVN@33090|Viridiplantae,3G8IH@35493|Streptophyta,3HQNH@3699|Brassicales	35493|Streptophyta	M	ion channel	-	GO:0000302,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006950,GO:0006979,GO:0007275,GO:0007568,GO:0008150,GO:0008219,GO:0008381,GO:0009581,GO:0009582,GO:0009605,GO:0009612,GO:0009628,GO:0009987,GO:0010150,GO:0012501,GO:0015267,GO:0016020,GO:0022803,GO:0022836,GO:0022857,GO:0032501,GO:0032502,GO:0033554,GO:0034599,GO:0034614,GO:0036473,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0048366,GO:0048367,GO:0048731,GO:0048827,GO:0048856,GO:0050896,GO:0050982,GO:0051179,GO:0051234,GO:0051606,GO:0051716,GO:0055085,GO:0070887,GO:0071944,GO:0080167,GO:0090693,GO:0097468,GO:0099402,GO:1901700,GO:1901701	-	ko:K22048	-	-	-	-	ko00000,ko02000	1.A.23.4	-	-	MS_channel
1	3702.AT5G60300.3	0.0	1526.0	COG0515@1|root,2QSJ4@2759|Eukaryota,37JWA@33090|Viridiplantae,3GAQ6@35493|Streptophyta,3HYI9@3699|Brassicales	35493|Streptophyta	T	lectin protein kinase family	-	GO:0000166,GO:0002229,GO:0002239,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004675,GO:0004888,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005886,GO:0005911,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006952,GO:0006970,GO:0007044,GO:0007045,GO:0007154,GO:0007155,GO:0007160,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007584,GO:0008144,GO:0008150,GO:0008152,GO:0009506,GO:0009605,GO:0009607,GO:0009611,GO:0009620,GO:0009628,GO:0009651,GO:0009719,GO:0009723,GO:0009725,GO:0009966,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010646,GO:0014070,GO:0014074,GO:0016020,GO:0016043,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019199,GO:0019538,GO:0022607,GO:0022610,GO:0023051,GO:0023052,GO:0030054,GO:0030554,GO:0031589,GO:0031667,GO:0031668,GO:0031669,GO:0031670,GO:0032553,GO:0032555,GO:0032559,GO:0032870,GO:0033198,GO:0033554,GO:0034329,GO:0034330,GO:0034332,GO:0034333,GO:0035639,GO:0035690,GO:0036094,GO:0036211,GO:0038023,GO:0042221,GO:0042493,GO:0043167,GO:0043168,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0045216,GO:0046683,GO:0046777,GO:0048037,GO:0048041,GO:0048583,GO:0050662,GO:0050789,GO:0050794,GO:0050832,GO:0050896,GO:0051287,GO:0051704,GO:0051707,GO:0051716,GO:0055044,GO:0060089,GO:0065007,GO:0070403,GO:0070887,GO:0071214,GO:0071310,GO:0071318,GO:0071369,GO:0071407,GO:0071417,GO:0071470,GO:0071472,GO:0071495,GO:0071496,GO:0071704,GO:0071840,GO:0071944,GO:0097159,GO:0097367,GO:0098542,GO:0104004,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:2000022	2.7.11.1	ko:K04730	ko04010,ko04064,ko04620,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05169,map04010,map04064,map04620,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05169	M00686	-	-	ko00000,ko00001,ko00002,ko01000,ko01001	-	-	-	Lectin_legB,Pkinase,Pkinase_Tyr
2	9606.ENSP00000347433	0.0	1086.0	28HNT@1|root,2QQ0C@2759|Eukaryota,39TBE@33154|Opisthokonta,3BI1I@33208|Metazoa,3CVRI@33213|Bilateria,485GV@7711|Chordata,495P3@7742|Vertebrata,3J32K@40674|Mammalia,35GE7@314146|Euarchontoglires,4M8FU@9443|Primates,4MZ5Y@9604|Hominidae	33208|Metazoa	T	Adenomatosis polyposis coli down-regulated 1	APCDD1	GO:0001942,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005623,GO:0005886,GO:0005887,GO:0006928,GO:0007275,GO:0007399,GO:0008150,GO:0008347,GO:0008544,GO:0009888,GO:0009966,GO:0009968,GO:0009987,GO:0010646,GO:0010648,GO:0016020,GO:0016021,GO:0016477,GO:0017147,GO:0022008,GO:0022404,GO:0022405,GO:0023051,GO:0023057,GO:0030111,GO:0030154,GO:0030178,GO:0031224,GO:0031226,GO:0032501,GO:0032502,GO:0040011,GO:0042063,GO:0042303,GO:0042633,GO:0042802,GO:0043588,GO:0043615,GO:0044421,GO:0044425,GO:0044459,GO:0044464,GO:0048513,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050794,GO:0051179,GO:0051674,GO:0060429,GO:0065007,GO:0071944,GO:0098773	-	-	-	-	-	-	-	-	-	-	APCDDC
3	34839.XP_005396015.1	0.0	3920.0	KOG2301@1|root,KOG2301@2759|Eukaryota,38BYK@33154|Opisthokonta,3BAHQ@33208|Metazoa,3CSUW@33213|Bilateria,47YTR@7711|Chordata,48ZMN@7742|Vertebrata,3J3U8@40674|Mammalia,3596E@314146|Euarchontoglires,4PU3F@9989|Rodentia	33208|Metazoa	P	calcium ion transmembrane transport via high voltage-gated calcium channel	CACNA1C	GO:0001508,GO:0001654,GO:0002027,GO:0002095,GO:0002376,GO:0002520,GO:0002790,GO:0002791,GO:0003008,GO:0003012,GO:0003013,GO:0003014,GO:0003015,GO:0003018,GO:0003674,GO:0005215,GO:0005216,GO:0005244,GO:0005245,GO:0005261,GO:0005262,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0005891,GO:0005901,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006873,GO:0006874,GO:0006875,GO:0006887,GO:0006928,GO:0006936,GO:0006937,GO:0006939,GO:0006941,GO:0006942,GO:0007154,GO:0007165,GO:0007204,GO:0007267,GO:0007268,GO:0007275,GO:0007423,GO:0007507,GO:0007588,GO:0007610,GO:0007611,GO:0007612,GO:0007626,GO:0007628,GO:0007632,GO:0008015,GO:0008016,GO:0008092,GO:0008104,GO:0008150,GO:0008217,GO:0008306,GO:0008324,GO:0008331,GO:0008344,GO:0008542,GO:0009306,GO:0009314,GO:0009416,GO:0009628,GO:0009653,GO:0009790,GO:0009914,GO:0009987,GO:0010522,GO:0010644,GO:0010646,GO:0010817,GO:0010880,GO:0010881,GO:0010882,GO:0010959,GO:0014069,GO:0014832,GO:0014848,GO:0015031,GO:0015075,GO:0015085,GO:0015267,GO:0015318,GO:0015833,GO:0016020,GO:0016021,GO:0016192,GO:0017156,GO:0019229,GO:0019722,GO:0019725,GO:0019899,GO:0019902,GO:0019903,GO:0019904,GO:0019932,GO:0022803,GO:0022832,GO:0022836,GO:0022838,GO:0022839,GO:0022843,GO:0022857,GO:0022890,GO:0023051,GO:0023052,GO:0023061,GO:0030001,GO:0030003,GO:0030016,GO:0030017,GO:0030018,GO:0030029,GO:0030048,GO:0030072,GO:0030073,GO:0030252,GO:0030315,GO:0030326,GO:0030425,GO:0030534,GO:0031224,GO:0031226,GO:0031369,GO:0031674,GO:0032279,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0032940,GO:0032970,GO:0032991,GO:0033036,GO:0033500,GO:0034220,GO:0034702,GO:0034703,GO:0034704,GO:0034762,GO:0034765,GO:0035107,GO:0035108,GO:0035113,GO:0035115,GO:0035136,GO:0035150,GO:0035296,GO:0035556,GO:0035585,GO:0035637,GO:0036477,GO:0040008,GO:0042383,GO:0042391,GO:0042592,GO:0042593,GO:0042734,GO:0042805,GO:0042886,GO:0042995,GO:0043005,GO:0043010,GO:0043025,GO:0043198,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043269,GO:0043292,GO:0044057,GO:0044297,GO:0044325,GO:0044422,GO:0044424,GO:0044425,GO:0044444,GO:0044449,GO:0044456,GO:0044459,GO:0044463,GO:0044464,GO:0044853,GO:0045055,GO:0045121,GO:0045184,GO:0045202,GO:0045211,GO:0046620,GO:0046873,GO:0046879,GO:0046883,GO:0046903,GO:0048513,GO:0048598,GO:0048638,GO:0048731,GO:0048736,GO:0048856,GO:0048878,GO:0050708,GO:0050789,GO:0050793,GO:0050794,GO:0050796,GO:0050801,GO:0050877,GO:0050880,GO:0050890,GO:0050896,GO:0051046,GO:0051049,GO:0051179,GO:0051223,GO:0051234,GO:0051239,GO:0051270,GO:0051279,GO:0051282,GO:0051393,GO:0051480,GO:0051641,GO:0051649,GO:0051716,GO:0051721,GO:0051899,GO:0051924,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0055117,GO:0060047,GO:0060048,GO:0060073,GO:0060078,GO:0060083,GO:0060173,GO:0060306,GO:0060341,GO:0060401,GO:0060402,GO:0061337,GO:0061577,GO:0065007,GO:0065008,GO:0070201,GO:0070252,GO:0070509,GO:0070588,GO:0070838,GO:0071702,GO:0071705,GO:0071944,GO:0072359,GO:0072503,GO:0072507,GO:0072511,GO:0086001,GO:0086002,GO:0086003,GO:0086004,GO:0086007,GO:0086010,GO:0086012,GO:0086014,GO:0086016,GO:0086019,GO:0086026,GO:0086027,GO:0086045,GO:0086056,GO:0086064,GO:0086065,GO:0086066,GO:0086067,GO:0086091,GO:0090066,GO:0090087,GO:0090257,GO:0090276,GO:0090659,GO:0097060,GO:0097447,GO:0097458,GO:0097746,GO:0098589,GO:0098590,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0098793,GO:0098794,GO:0098796,GO:0098797,GO:0098805,GO:0098857,GO:0098900,GO:0098901,GO:0098903,GO:0098911,GO:0098912,GO:0098916,GO:0098984,GO:0099080,GO:0099081,GO:0099512,GO:0099536,GO:0099537,GO:0099572,GO:0120025,GO:0120038,GO:1902495,GO:1903115,GO:1903169,GO:1903522,GO:1903530,GO:1904062,GO:1905030,GO:1990351,GO:1990454	-	ko:K04850,ko:K04851	ko04010,ko04020,ko04022,ko04024,ko04218,ko04260,ko04261,ko04270,ko04530,ko04713,ko04720,ko04723,ko04724,ko04725,ko04726,ko04727,ko04728,ko04742,ko04911,ko04912,ko04921,ko04924,ko04925,ko04927,ko04930,ko04934,ko04973,ko05010,ko05031,ko05410,ko05412,ko05414,map04010,map04020,map04022,map04024,map04218,map04260,map04261,map04270,map04530,map04713,map04720,map04723,map04724,map04725,map04726,map04727,map04728,map04742,map04911,map04912,map04921,map04924,map04925,map04927,map04930,map04934,map04973,map05010,map05031,map05410,map05412,map05414	-	-	-	ko00000,ko00001,ko04040	1.A.1.11.1,1.A.1.11.20,1.A.1.11.21,1.A.1.11.4,1.A.1.11.6	-	-	CAC1F_C,Ca_chan_IQ,GPHH,Ion_trans
4	9597.XP_003820827.1	1.06e-161	452.0	2AV51@1|root,2RZVK@2759|Eukaryota,397JF@33154|Opisthokonta,3BI85@33208|Metazoa,3CXMF@33213|Bilateria,48B3H@7711|Chordata,49616@7742|Vertebrata,3JFTG@40674|Mammalia,35D81@314146|Euarchontoglires,4M6W5@9443|Primates,4MSFE@9604|Hominidae	33208|Metazoa	U	Immunoglobulin V-set domain	CTLA4	GO:0002253,GO:0002376,GO:0002429,GO:0002682,GO:0002683,GO:0002684,GO:0002694,GO:0002695,GO:0002696,GO:0002757,GO:0002764,GO:0002768,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005887,GO:0006950,GO:0006955,GO:0006974,GO:0007154,GO:0007162,GO:0007165,GO:0007166,GO:0008150,GO:0008285,GO:0009897,GO:0009986,GO:0009987,GO:0010941,GO:0010942,GO:0012505,GO:0016020,GO:0016021,GO:0022407,GO:0022408,GO:0022409,GO:0023052,GO:0030135,GO:0030136,GO:0030139,GO:0030155,GO:0030888,GO:0030889,GO:0031224,GO:0031226,GO:0031294,GO:0031295,GO:0031410,GO:0031982,GO:0032944,GO:0032945,GO:0032991,GO:0033554,GO:0042127,GO:0042129,GO:0042130,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0045334,GO:0045580,GO:0045581,GO:0045589,GO:0045590,GO:0045595,GO:0045596,GO:0045619,GO:0045620,GO:0045785,GO:0048471,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0050670,GO:0050672,GO:0050776,GO:0050777,GO:0050778,GO:0050789,GO:0050793,GO:0050794,GO:0050851,GO:0050853,GO:0050863,GO:0050864,GO:0050865,GO:0050866,GO:0050867,GO:0050868,GO:0050869,GO:0050870,GO:0050896,GO:0051093,GO:0051239,GO:0051241,GO:0051249,GO:0051250,GO:0051251,GO:0051716,GO:0065007,GO:0070663,GO:0070664,GO:0071944,GO:0097708,GO:0098552,GO:0098636,GO:1902105,GO:1902106,GO:1903037,GO:1903038,GO:1903039,GO:1903706,GO:1903707,GO:2000026	-	ko:K06538	ko04514,ko04660,ko05320,ko05323,map04514,map04660,map05320,map05323	-	-	-	ko00000,ko00001,ko04090,ko04516	-	-	-	V-set,V-set_2
5	9606.ENSP00000384763	0.0	1897.0	KOG1306@1|root,KOG1306@2759|Eukaryota,38CSX@33154|Opisthokonta,3BAVY@33208|Metazoa,3CSR1@33213|Bilateria,482DN@7711|Chordata,48XY6@7742|Vertebrata,3J2E5@40674|Mammalia,35EZX@314146|Euarchontoglires,4MCM5@9443|Primates,4MVAW@9604|Hominidae	33208|Metazoa	PT	C-terminal extension of sodium/calcium exchanger domain	SLC8A1	GO:0000003,GO:0000302,GO:0001508,GO:0001666,GO:0001701,GO:0001890,GO:0001892,GO:0002026,GO:0002027,GO:0002028,GO:0003006,GO:0003007,GO:0003008,GO:0003012,GO:0003013,GO:0003015,GO:0003018,GO:0003674,GO:0005215,GO:0005432,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005783,GO:0005789,GO:0005856,GO:0005874,GO:0005886,GO:0005887,GO:0005901,GO:0005911,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006816,GO:0006851,GO:0006873,GO:0006874,GO:0006875,GO:0006883,GO:0006936,GO:0006937,GO:0006939,GO:0006941,GO:0006942,GO:0006950,GO:0006979,GO:0007154,GO:0007165,GO:0007204,GO:0007272,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0007507,GO:0007584,GO:0007602,GO:0007610,GO:0007611,GO:0007612,GO:0007613,GO:0008015,GO:0008016,GO:0008092,GO:0008150,GO:0008324,GO:0008366,GO:0009314,GO:0009410,GO:0009416,GO:0009581,GO:0009582,GO:0009583,GO:0009605,GO:0009612,GO:0009628,GO:0009636,GO:0009653,GO:0009719,GO:0009743,GO:0009746,GO:0009749,GO:0009790,GO:0009791,GO:0009792,GO:0009887,GO:0009888,GO:0009987,GO:0009991,GO:0010001,GO:0010033,GO:0010035,GO:0010243,GO:0010522,GO:0010644,GO:0010646,GO:0010647,GO:0010649,GO:0010762,GO:0010763,GO:0010880,GO:0010881,GO:0010882,GO:0010959,GO:0012505,GO:0014070,GO:0014074,GO:0014704,GO:0014706,GO:0014819,GO:0014829,GO:0015075,GO:0015077,GO:0015081,GO:0015085,GO:0015291,GO:0015297,GO:0015298,GO:0015318,GO:0015368,GO:0015491,GO:0015630,GO:0015672,GO:0016020,GO:0016021,GO:0016323,GO:0019722,GO:0019725,GO:0019867,GO:0019932,GO:0021537,GO:0022008,GO:0022414,GO:0022804,GO:0022857,GO:0022890,GO:0023051,GO:0023052,GO:0023056,GO:0030001,GO:0030003,GO:0030004,GO:0030016,GO:0030017,GO:0030018,GO:0030054,GO:0030154,GO:0030278,GO:0030315,GO:0030334,GO:0030335,GO:0030425,GO:0030500,GO:0030501,GO:0030506,GO:0030900,GO:0031000,GO:0031090,GO:0031224,GO:0031226,GO:0031594,GO:0031667,GO:0031674,GO:0031966,GO:0031967,GO:0031968,GO:0031974,GO:0031975,GO:0031981,GO:0031984,GO:0032501,GO:0032502,GO:0032879,GO:0033198,GO:0033554,GO:0034220,GO:0034284,GO:0034599,GO:0034614,GO:0034762,GO:0034765,GO:0034976,GO:0035050,GO:0035051,GO:0035150,GO:0035295,GO:0035296,GO:0035556,GO:0035637,GO:0035690,GO:0035725,GO:0035902,GO:0035994,GO:0036270,GO:0036293,GO:0036294,GO:0036376,GO:0036477,GO:0040012,GO:0040017,GO:0042063,GO:0042175,GO:0042221,GO:0042310,GO:0042383,GO:0042391,GO:0042493,GO:0042542,GO:0042552,GO:0042592,GO:0042692,GO:0042995,GO:0043005,GO:0043009,GO:0043167,GO:0043169,GO:0043197,GO:0043198,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043269,GO:0043279,GO:0043292,GO:0044057,GO:0044291,GO:0044309,GO:0044325,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044429,GO:0044430,GO:0044432,GO:0044444,GO:0044446,GO:0044449,GO:0044456,GO:0044459,GO:0044463,GO:0044464,GO:0044557,GO:0044853,GO:0045121,GO:0045202,GO:0045211,GO:0045778,GO:0046677,GO:0046683,GO:0046872,GO:0046873,GO:0048167,GO:0048168,GO:0048172,GO:0048468,GO:0048471,GO:0048513,GO:0048518,GO:0048522,GO:0048568,GO:0048608,GO:0048709,GO:0048731,GO:0048738,GO:0048747,GO:0048856,GO:0048869,GO:0048878,GO:0050789,GO:0050793,GO:0050794,GO:0050801,GO:0050804,GO:0050806,GO:0050877,GO:0050880,GO:0050884,GO:0050890,GO:0050896,GO:0050905,GO:0051049,GO:0051094,GO:0051146,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051270,GO:0051272,GO:0051279,GO:0051282,GO:0051480,GO:0051481,GO:0051560,GO:0051591,GO:0051606,GO:0051641,GO:0051649,GO:0051716,GO:0051899,GO:0051924,GO:0055001,GO:0055002,GO:0055006,GO:0055007,GO:0055013,GO:0055065,GO:0055067,GO:0055074,GO:0055078,GO:0055080,GO:0055082,GO:0055085,GO:0055117,GO:0055119,GO:0060047,GO:0060048,GO:0060078,GO:0060291,GO:0060322,GO:0060341,GO:0060401,GO:0060402,GO:0060429,GO:0060537,GO:0061061,GO:0061337,GO:0061458,GO:0065007,GO:0065008,GO:0070013,GO:0070167,GO:0070169,GO:0070482,GO:0070509,GO:0070588,GO:0070838,GO:0070887,GO:0071310,GO:0071312,GO:0071313,GO:0071320,GO:0071407,GO:0071415,GO:0071417,GO:0071453,GO:0071456,GO:0071466,GO:0071495,GO:0071944,GO:0072359,GO:0072503,GO:0072507,GO:0072511,GO:0086001,GO:0086010,GO:0086012,GO:0086036,GO:0086038,GO:0086064,GO:0086065,GO:0090066,GO:0090075,GO:0090257,GO:0097060,GO:0097447,GO:0097458,GO:0097746,GO:0097756,GO:0098588,GO:0098589,GO:0098590,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098719,GO:0098735,GO:0098739,GO:0098771,GO:0098794,GO:0098805,GO:0098827,GO:0098857,GO:0099080,GO:0099081,GO:0099177,GO:0099512,GO:0099513,GO:0099516,GO:0099580,GO:0099587,GO:0120025,GO:0120038,GO:0140115,GO:1901660,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1903169,GO:1903522,GO:1903779,GO:1904062,GO:2000026,GO:2000145,GO:2000147	-	ko:K05849	ko04020,ko04022,ko04371,ko04740,ko04974,map04020,map04022,map04371,map04740,map04974	-	-	-	ko00000,ko00001,ko00536,ko02000	2.A.19.3	-	-	Calx-beta,Na_Ca_ex,Na_Ca_ex_C
6	9593.ENSGGOP00000005649	1.27e-128	365.0	2E07K@1|root,2S7P1@2759|Eukaryota,3A0VS@33154|Opisthokonta,3BQ4F@33208|Metazoa,3D04C@33213|Bilateria,47ZIN@7711|Chordata,498PE@7742|Vertebrata,3JFTX@40674|Mammalia,35MDW@314146|Euarchontoglires,4MEYU@9443|Primates,4MVBX@9604|Hominidae	33208|Metazoa	T	SHP2-interacting transmembrane adaptor protein, SIT	TRAT1	GO:0001919,GO:0001920,GO:0002253,GO:0002376,GO:0002429,GO:0002682,GO:0002684,GO:0002757,GO:0002764,GO:0002768,GO:0003674,GO:0003824,GO:0005068,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0006950,GO:0006952,GO:0006968,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0008150,GO:0008152,GO:0009892,GO:0009966,GO:0009967,GO:0009987,GO:0010605,GO:0010646,GO:0010647,GO:0016020,GO:0016021,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019222,GO:0019637,GO:0019899,GO:0019900,GO:0019901,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030258,GO:0030674,GO:0030971,GO:0031224,GO:0031226,GO:0031323,GO:0031324,GO:0032879,GO:0032991,GO:0035004,GO:0035591,GO:0042101,GO:0043235,GO:0044237,GO:0044238,GO:0044255,GO:0044425,GO:0044459,GO:0044464,GO:0046486,GO:0046488,GO:0046834,GO:0046854,GO:0046934,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050848,GO:0050850,GO:0050851,GO:0050852,GO:0050854,GO:0050856,GO:0050857,GO:0050862,GO:0050896,GO:0051049,GO:0051051,GO:0051716,GO:0051896,GO:0051897,GO:0052813,GO:0060090,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0098796,GO:0098797,GO:0098802,GO:1902531,GO:1902533,GO:1990782	-	-	-	-	-	-	-	-	-	-	SIT
7	9606.ENSP00000222345	0.0	3517.0	KOG3686@1|root,KOG3686@2759|Eukaryota,39RHH@33154|Opisthokonta,3BB1W@33208|Metazoa,3E4FN@33213|Bilateria,482VS@7711|Chordata,4934D@7742|Vertebrata,3JBG3@40674|Mammalia,35GPZ@314146|Euarchontoglires,4MAE2@9443|Primates,4N2M9@9604|Hominidae	33208|Metazoa	T	Signal-induced proliferation-associated 1 like 3	SIPA1L3	GO:0000902,GO:0000904,GO:0001654,GO:0001725,GO:0002064,GO:0002244,GO:0002376,GO:0002520,GO:0003382,GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0005911,GO:0006996,GO:0007010,GO:0007163,GO:0007275,GO:0007423,GO:0008150,GO:0009653,GO:0009888,GO:0009987,GO:0015629,GO:0016043,GO:0030010,GO:0030054,GO:0030097,GO:0030154,GO:0030855,GO:0032432,GO:0032501,GO:0032502,GO:0032989,GO:0042641,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044446,GO:0044464,GO:0045177,GO:0048468,GO:0048513,GO:0048534,GO:0048731,GO:0048856,GO:0048869,GO:0060429,GO:0061689,GO:0070160,GO:0071840,GO:0090162,GO:0097517	-	ko:K17703	ko04015,map04015	-	-	-	ko00000,ko00001	-	-	-	Rap_GAP,SPAR_C
8	9606.ENSP00000426528	0.0	1182.0	28KPX@1|root,2QU08@2759|Eukaryota,38WA9@33154|Opisthokonta,3BIXN@33208|Metazoa,3CRIF@33213|Bilateria,48BMQ@7711|Chordata,49119@7742|Vertebrata,3J6AK@40674|Mammalia,35JEW@314146|Euarchontoglires,4MB65@9443|Primates,4MWHG@9604|Hominidae	33208|Metazoa	T	WTX protein	AMER2	GO:0003674,GO:0005488,GO:0005515,GO:0005543,GO:0005546,GO:0005575,GO:0005623,GO:0005886,GO:0007398,GO:0008013,GO:0008150,GO:0008289,GO:0009888,GO:0009966,GO:0009968,GO:0010646,GO:0010648,GO:0016020,GO:0023051,GO:0023057,GO:0030111,GO:0030178,GO:0032502,GO:0035091,GO:0043167,GO:0043168,GO:0044464,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048856,GO:0050789,GO:0050794,GO:0060828,GO:0065007,GO:0071944,GO:0090090,GO:1901981,GO:1902936	-	-	-	-	-	-	-	-	-	-	WTX
9	4530.OS03T0175800-01	4.34e-209	579.0	2CNHY@1|root,2QWFY@2759|Eukaryota,37QI1@33090|Viridiplantae,3GEBE@35493|Streptophyta,3KQE7@4447|Liliopsida,3I55K@38820|Poales	35493|Streptophyta	S	Protein BIG GRAIN 1-like	-	GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0007623,GO:0008150,GO:0009605,GO:0009606,GO:0009628,GO:0009629,GO:0009630,GO:0009719,GO:0009725,GO:0009733,GO:0009914,GO:0009966,GO:0009967,GO:0010033,GO:0010646,GO:0010647,GO:0010817,GO:0010928,GO:0010929,GO:0016020,GO:0023051,GO:0023056,GO:0040008,GO:0042221,GO:0044464,GO:0048511,GO:0048518,GO:0048522,GO:0048580,GO:0048583,GO:0048584,GO:0048638,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051239,GO:0060918,GO:0065007,GO:0065008,GO:0071944,GO:0080050,GO:0080113,GO:2000026,GO:2000241	-	-	-	-	-	-	-	-	-	-	-
