## Wed Dec 27 23:31:35 2023
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ecmv9fyc --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_ecmv9fyc --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_ecmv9fyc/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
0	4952.CAR65207	2.18e-43	142.0	2E2PM@1|root,2S9WJ@2759|Eukaryota,39JAY@33154|Opisthokonta,3P74M@4751|Fungi,3QZ53@4890|Ascomycota,3RVNM@4891|Saccharomycetes	4751|Fungi	K	Involved in mRNA export coupled transcription activation by association with both the TREX-2 and the SAGA complexes. At the promoters, SAGA is required for recruitment of the basal transcription machinery. It influences RNA polymerase II transcriptional activity through different activities such as TBP interaction and promoter selectivity, interaction with transcription activators, and chromatin modification through histone acetylation and deubiquitination. Within the SAGA complex, participates to a subcomplex required for deubiquitination of H2B and for the maintenance of steady-state H3 methylation levels. The TREX-2 complex functions in docking export-competent ribonucleoprotein particles (mRNPs) to the nuclear entrance of the nuclear pore complex (nuclear basket). TREX-2 participates in mRNA export and accurate chromatin positioning in the nucleus by tethering genes to the nuclear periphery. May also be involved in cytoplasmic mRNA decay by interaction with components of P-bodies	SUS1	GO:0000123,GO:0000124,GO:0000956,GO:0000972,GO:0000973,GO:0003674,GO:0003682,GO:0003712,GO:0003713,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006139,GO:0006325,GO:0006351,GO:0006354,GO:0006355,GO:0006357,GO:0006366,GO:0006368,GO:0006401,GO:0006402,GO:0006403,GO:0006405,GO:0006406,GO:0006464,GO:0006479,GO:0006508,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0008047,GO:0008104,GO:0008150,GO:0008152,GO:0008213,GO:0008298,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0015031,GO:0015833,GO:0015931,GO:0016043,GO:0016070,GO:0016071,GO:0016569,GO:0016570,GO:0016571,GO:0016578,GO:0016579,GO:0016973,GO:0018022,GO:0018130,GO:0018193,GO:0018205,GO:0019219,GO:0019222,GO:0019438,GO:0019439,GO:0019538,GO:0030234,GO:0031248,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031503,GO:0031974,GO:0031981,GO:0032259,GO:0032774,GO:0032879,GO:0032880,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0034729,GO:0034968,GO:0036211,GO:0042886,GO:0043085,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043414,GO:0044093,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0045184,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0046700,GO:0046907,GO:0048518,GO:0048519,GO:0048522,GO:0050657,GO:0050658,GO:0050789,GO:0050790,GO:0050794,GO:0051028,GO:0051168,GO:0051169,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051236,GO:0051252,GO:0051254,GO:0051276,GO:0051568,GO:0051641,GO:0051649,GO:0060255,GO:0065007,GO:0065009,GO:0070013,GO:0070390,GO:0070461,GO:0070646,GO:0070647,GO:0070727,GO:0071025,GO:0071027,GO:0071028,GO:0071033,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0071819,GO:0071840,GO:0080090,GO:0090304,GO:0097659,GO:0098772,GO:0140110,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901575,GO:1901576,GO:1902493,GO:1902494,GO:1902680,GO:1903506,GO:1903508,GO:1905368,GO:1990234,GO:2000112,GO:2001141	-	ko:K11368	-	-	-	-	ko00000,ko03019,ko03021,ko03036	-	-	-	EnY2
1	44689.DDB0234169	0.0	1444.0	COG0480@1|root,KOG0465@2759|Eukaryota,3XEVW@554915|Amoebozoa	554915|Amoebozoa	J	Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A- site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome	-	GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0003824,GO:0003924,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019538,GO:0032543,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0070125,GO:0071704,GO:0097159,GO:0140053,GO:1901363,GO:1901564,GO:1901566,GO:1901576	-	ko:K02355	-	-	-	-	ko00000,ko03012,ko03029	-	-	-	EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2
2	7227.FBpp0077263	0.0	1180.0	KOG2031@1|root,KOG2031@2759|Eukaryota,38CZE@33154|Opisthokonta,3BEY4@33208|Metazoa,3CU7Q@33213|Bilateria,41V9H@6656|Arthropoda,3SK0S@50557|Insecta,44Z0K@7147|Diptera,45P81@7214|Drosophilidae	33208|Metazoa	L	Phosphoric diester hydrolase activity. It is involved in the biological process described with DNA repair	TDP1	GO:0000012,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003697,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007163,GO:0007275,GO:0007399,GO:0007417,GO:0008081,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016787,GO:0016788,GO:0017005,GO:0032501,GO:0032502,GO:0033554,GO:0034641,GO:0035088,GO:0042578,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0045197,GO:0046483,GO:0048731,GO:0048856,GO:0050896,GO:0051716,GO:0061245,GO:0070259,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:0140097,GO:1901360,GO:1901363	-	ko:K10862	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	Tyr-DNA_phospho,zf-CCHH
3	7227.FBpp0077576	7.54e-265	725.0	COG4266@1|root,KOG0757@2759|Eukaryota,39PYS@33154|Opisthokonta,3BA4B@33208|Metazoa,3CSQU@33213|Bilateria,41VX3@6656|Arthropoda,3SGNK@50557|Insecta,44XDG@7147|Diptera,45X2H@7214|Drosophilidae	33208|Metazoa	C	It is involved in the biological process described with mitochondrial transport	SLC25A36	GO:0000002,GO:0000959,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006091,GO:0006139,GO:0006351,GO:0006390,GO:0006725,GO:0006807,GO:0006810,GO:0006839,GO:0006862,GO:0006864,GO:0006996,GO:0007005,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015215,GO:0015218,GO:0015605,GO:0015748,GO:0015931,GO:0015932,GO:0015980,GO:0016020,GO:0016021,GO:0016043,GO:0016070,GO:0018130,GO:0019438,GO:0019866,GO:0022857,GO:0030302,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0040011,GO:0042391,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045333,GO:0046483,GO:0048311,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051646,GO:0051881,GO:0055085,GO:0055114,GO:0065007,GO:0065008,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072531,GO:0090304,GO:0097659,GO:0140053,GO:1901264,GO:1901360,GO:1901362,GO:1901576,GO:1901679,GO:1990519,GO:1990542	-	ko:K15116	-	-	-	-	ko00000,ko02000	2.A.29.10.4	-	-	Mito_carr
4	4538.ORGLA01G0353100.1	0.0	1157.0	COG0513@1|root,KOG0331@2759|Eukaryota,37JKP@33090|Viridiplantae,3GEGS@35493|Streptophyta,3KWSI@4447|Liliopsida,3I2JT@38820|Poales	35493|Streptophyta	A	Belongs to the DEAD box helicase family	-	GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003729,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009987,GO:0010501,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0031974,GO:0031981,GO:0034641,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0070035,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:1901360,GO:1901363	3.6.4.13	ko:K12823	ko03040,ko05202,ko05205,map03040,map05202,map05205	-	-	-	ko00000,ko00001,ko01000,ko03009,ko03041	-	-	-	DEAD,Helicase_C
5	9031.ENSGALP00000019133	0.0	1458.0	KOG1333@1|root,KOG1333@2759|Eukaryota,38Q70@33154|Opisthokonta,3B9KW@33208|Metazoa,3CTHH@33213|Bilateria,484BE@7711|Chordata,48ZQ2@7742|Vertebrata,4GPUW@8782|Aves	33208|Metazoa	S	WD repeat-containing protein 91	WDR91	GO:0003674,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005770,GO:0005829,GO:0006810,GO:0006950,GO:0008150,GO:0009611,GO:0009894,GO:0010008,GO:0012505,GO:0016020,GO:0016192,GO:0016482,GO:0019207,GO:0019216,GO:0019220,GO:0019222,GO:0019898,GO:0030234,GO:0031090,GO:0031312,GO:0031313,GO:0031323,GO:0031329,GO:0031410,GO:0031901,GO:0031902,GO:0031982,GO:0032268,GO:0035014,GO:0042060,GO:0042176,GO:0042325,GO:0043226,GO:0043227,GO:0043229,GO:0043549,GO:0043550,GO:0043551,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0045022,GO:0046907,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051171,GO:0051174,GO:0051179,GO:0051234,GO:0051246,GO:0051338,GO:0051641,GO:0051649,GO:0060255,GO:0065007,GO:0065009,GO:0080090,GO:0097708,GO:0098588,GO:0098772,GO:0098805,GO:0098927,GO:1903362,GO:1903725	-	-	-	-	-	-	-	-	-	-	WD40
6	4896.SPBC3E7.11c.1	8.6e-250	686.0	COG2214@1|root,KOG0691@2759|Eukaryota,38GRI@33154|Opisthokonta,3NXFB@4751|Fungi,3QNC5@4890|Ascomycota	4751|Fungi	O	DnaJ domain protein	CAJ1	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005783,GO:0005829,GO:0005933,GO:0006457,GO:0006605,GO:0006625,GO:0006626,GO:0006810,GO:0006839,GO:0006886,GO:0006996,GO:0007005,GO:0007006,GO:0007031,GO:0008104,GO:0008150,GO:0009987,GO:0012505,GO:0015031,GO:0015833,GO:0015919,GO:0016043,GO:0016558,GO:0017038,GO:0030544,GO:0031072,GO:0033036,GO:0033365,GO:0034613,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043574,GO:0044424,GO:0044444,GO:0044464,GO:0044743,GO:0045040,GO:0045184,GO:0046907,GO:0051087,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0061024,GO:0065002,GO:0070585,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0071944,GO:0072594,GO:0072655,GO:0072657,GO:0072662,GO:0072663,GO:0090150,GO:0090151	-	-	-	-	-	-	-	-	-	-	DnaJ,DnaJ-X
7	9606.ENSP00000260363	0.0	1891.0	COG5059@1|root,KOG0247@2759|Eukaryota,38FXQ@33154|Opisthokonta,3BAN0@33208|Metazoa,3CRVQ@33213|Bilateria,47ZYR@7711|Chordata,48YWT@7742|Vertebrata,3JAQ2@40674|Mammalia,35JHX@314146|Euarchontoglires,4M766@9443|Primates,4MU7U@9604|Hominidae	33208|Metazoa	Z	Arf6-interacting domain of mitotic kinesin-like protein 1	KIF23	GO:0000003,GO:0000022,GO:0000070,GO:0000166,GO:0000226,GO:0000278,GO:0000280,GO:0000281,GO:0000819,GO:0000910,GO:0000912,GO:0000915,GO:0000916,GO:0001578,GO:0001709,GO:0002376,GO:0002478,GO:0002495,GO:0002504,GO:0003674,GO:0003774,GO:0003777,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005813,GO:0005815,GO:0005819,GO:0005828,GO:0005829,GO:0005856,GO:0005871,GO:0005874,GO:0005875,GO:0005876,GO:0005886,GO:0005929,GO:0005930,GO:0006810,GO:0006890,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007049,GO:0007051,GO:0007052,GO:0007059,GO:0007097,GO:0007143,GO:0007154,GO:0007165,GO:0007166,GO:0007224,GO:0007275,GO:0007276,GO:0007292,GO:0007338,GO:0007399,GO:0007422,GO:0007525,GO:0008017,GO:0008092,GO:0008104,GO:0008144,GO:0008150,GO:0008574,GO:0009566,GO:0009966,GO:0009968,GO:0009987,GO:0010564,GO:0010646,GO:0010648,GO:0015630,GO:0015631,GO:0016020,GO:0016043,GO:0016192,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019882,GO:0019884,GO:0019886,GO:0019899,GO:0019900,GO:0019901,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0022607,GO:0023051,GO:0023052,GO:0023057,GO:0030029,GO:0030036,GO:0030111,GO:0030154,GO:0030178,GO:0030496,GO:0030554,GO:0030865,GO:0030866,GO:0031032,GO:0031974,GO:0031981,GO:0031991,GO:0032153,GO:0032154,GO:0032155,GO:0032465,GO:0032467,GO:0032501,GO:0032502,GO:0032504,GO:0032506,GO:0032507,GO:0032553,GO:0032555,GO:0032559,GO:0032838,GO:0032886,GO:0032954,GO:0032956,GO:0032970,GO:0032991,GO:0033036,GO:0033043,GO:0033206,GO:0034613,GO:0035046,GO:0035323,GO:0035324,GO:0035639,GO:0036094,GO:0036213,GO:0040038,GO:0042623,GO:0042802,GO:0042995,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0044703,GO:0044837,GO:0045165,GO:0045171,GO:0045172,GO:0045185,GO:0045787,GO:0046907,GO:0048002,GO:0048193,GO:0048285,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048609,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051179,GO:0051225,GO:0051231,GO:0051233,GO:0051234,GO:0051235,GO:0051255,GO:0051256,GO:0051257,GO:0051276,GO:0051301,GO:0051302,GO:0051321,GO:0051493,GO:0051640,GO:0051641,GO:0051647,GO:0051649,GO:0051651,GO:0051656,GO:0051704,GO:0051716,GO:0051726,GO:0051781,GO:0060828,GO:0061061,GO:0061640,GO:0065007,GO:0065008,GO:0070013,GO:0070507,GO:0070727,GO:0070925,GO:0070938,GO:0071840,GO:0071944,GO:0072686,GO:0090068,GO:0090090,GO:0090307,GO:0097014,GO:0097149,GO:0097159,GO:0097367,GO:0098549,GO:0098590,GO:0098813,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0099568,GO:0110020,GO:0120025,GO:0120038,GO:0140013,GO:0140014,GO:1901265,GO:1901363,GO:1902850,GO:1903046,GO:1903047,GO:1903562,GO:1990023,GO:1990939	-	ko:K17387	ko05206,map05206	-	-	-	ko00000,ko00001,ko03036,ko04131,ko04812	-	-	-	Kinesin,MKLP1_Arf_bdg
8	10090.ENSMUSP00000123853	7.16e-137	386.0	2FCJS@1|root,2TDUK@2759|Eukaryota,3AJRG@33154|Opisthokonta,3C019@33208|Metazoa,3D7FB@33213|Bilateria,48EJN@7711|Chordata,49BIR@7742|Vertebrata,3JGTK@40674|Mammalia,35QCJ@314146|Euarchontoglires,4Q6BD@9989|Rodentia	33208|Metazoa	S	Germinal center-associated lymphoma	GCSAM	GO:0002682,GO:0002683,GO:0002685,GO:0002686,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008092,GO:0008150,GO:0009966,GO:0010646,GO:0016020,GO:0017022,GO:0019899,GO:0019900,GO:0019901,GO:0023051,GO:0030334,GO:0030336,GO:0032879,GO:0040012,GO:0040013,GO:0044424,GO:0044464,GO:0045159,GO:0048519,GO:0048523,GO:0048583,GO:0050776,GO:0050789,GO:0050794,GO:0050854,GO:0050855,GO:0051270,GO:0051271,GO:0065007,GO:0071944,GO:2000145,GO:2000146,GO:2000401,GO:2000402	-	-	-	-	-	-	-	-	-	-	HGAL
9	4952.CAG77831	1.56e-154	434.0	2B0TT@1|root,2S08R@2759|Eukaryota,3A3PI@33154|Opisthokonta,3P44E@4751|Fungi,3QVA0@4890|Ascomycota,3RVWM@4891|Saccharomycetes	4751|Fungi	Z	Component of the DASH complex, a microtubule-binding subcomplex of the outer kinetochore that is essential for proper chromosome segregation. The DASH complex mediates the formation and maintenance of bipolar kinetochore-microtubule attachments by forming closed rings around spindle microtubules and establishing interactions with proteins from the central kinetochore (By similarity)	DAM1	GO:0000003,GO:0000070,GO:0000226,GO:0000228,GO:0000278,GO:0000280,GO:0000775,GO:0000776,GO:0000777,GO:0000778,GO:0000779,GO:0000780,GO:0000793,GO:0000794,GO:0000819,GO:0000922,GO:0000940,GO:0000942,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005815,GO:0005816,GO:0005819,GO:0005827,GO:0005856,GO:0005874,GO:0005876,GO:0005881,GO:0005938,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007049,GO:0007051,GO:0007052,GO:0007059,GO:0007080,GO:0007127,GO:0008017,GO:0008092,GO:0008150,GO:0008608,GO:0009987,GO:0010564,GO:0010638,GO:0015630,GO:0015631,GO:0016043,GO:0022402,GO:0022414,GO:0030863,GO:0030981,GO:0031110,GO:0031112,GO:0031113,GO:0031116,GO:0031134,GO:0031334,GO:0031974,GO:0031981,GO:0032271,GO:0032273,GO:0032886,GO:0032991,GO:0033043,GO:0042729,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043254,GO:0044087,GO:0044089,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044454,GO:0044464,GO:0044732,GO:0045132,GO:0045143,GO:0045787,GO:0048285,GO:0048518,GO:0048522,GO:0050000,GO:0050789,GO:0050794,GO:0051010,GO:0051012,GO:0051128,GO:0051130,GO:0051179,GO:0051234,GO:0051276,GO:0051303,GO:0051310,GO:0051315,GO:0051316,GO:0051321,GO:0051455,GO:0051493,GO:0051495,GO:0051640,GO:0051641,GO:0051649,GO:0051656,GO:0051726,GO:0051983,GO:0051984,GO:0051987,GO:0051988,GO:0055028,GO:0061982,GO:0065007,GO:0070013,GO:0070507,GO:0071840,GO:0071944,GO:0072686,GO:0090068,GO:0098687,GO:0098813,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0099568,GO:0140013,GO:0140014,GO:1902850,GO:1902903,GO:1902905,GO:1903046,GO:1903047,GO:1905185,GO:1990498,GO:1990537,GO:1990758,GO:1990942	-	ko:K02307	ko04111,map04111	-	-	-	ko00000,ko00001,ko03036	-	-	-	DASH_Dam1
